radio,mcc,net,area,cell,lon,lat,created,updated
UMTS,404,16,35051,33123559,93.937085,24.741239,1341427916,1341427916
UMTS,404,16,35051,33121008,93.940659,24.722122,1341278047,1341278047
UMTS,404,16,35051,33121559,93.938688,24.77623,1341763659,1443405616
UMTS,404,16,35051,33109769,93.936135,24.782854,1341763659,1443405490
UMTS,404,16,35051,33121429,93.930016,24.788344,1341278933,1341278933
UMTS,404,16,35051,33109797,93.923469,24.789597,1341763664,1369451239
UMTS,404,16,35051,33109787,93.900137,24.768586,1341763664,1432702059
UMTS,404,16,35051,33121277,93.910007,24.776944,1341290859,1341290859
UMTS,404,16,35051,33121459,93.907699,24.773941,1341763664,1432702059
UMTS,404,16,35051,33109949,93.901108,24.769844,1341279933,1341279933
UMTS,404,16,35051,33109799,93.91864,24.785065,1341290804,1341290804
UMTS,404,16,35051,33121457,93.91731262,24.78309631,1341285535,1341285535
UMTS,404,16,35051,33120979,93.932018,24.796572,1341601432,1341601432
UMTS,404,16,35051,33109719,93.937239,24.796264,1341763669,1451456478
UMTS,404,16,35051,33121427,93.935689,24.79629,1341763669,1454267298
UMTS,404,16,35051,33121428,93.939175,24.793011,1341763671,1450696363
UMTS,404,16,35051,33109717,93.939211,24.801543,1341763671,1445239011
UMTS,404,16,35051,33109908,93.934654,24.800789,1341290559,1341290559
UMTS,404,16,35051,33109909,93.931732,24.804039,1341763671,1454267130
UMTS,404,16,35051,33121278,93.93591,24.74556,1341427941,1341427941
UMTS,404,16,35054,33122727,93.998438,24.640027,1341449155,1341449155
UMTS,404,16,35054,33122637,93.981943,24.64262,1341434222,1341434222
UMTS,404,16,35054,33120859,93.9818573,24.64439392,1341432634,1341432634
UMTS,404,16,35054,33122639,93.984924,24.640686,1341448013,1341448013
UMTS,404,16,35054,33120828,94.015503,24.625168,1341459807,1341459807
UMTS,404,16,35051,33121578,93.930634,24.806305,1341763687,1448498860
UMTS,404,16,35051,33121579,93.928757,24.805069,1341586107,1341586107
UMTS,404,16,35051,33121557,93.935754,24.761271,1341763689,1443405616
UMTS,404,16,35051,33109768,93.939354,24.783234,1341763689,1443405490
GSM,404,16,88,25741,93.93928528,24.79270935,1341606349,1341606349
GSM,404,16,88,25742,93.93928528,24.79270935,1341605868,1341605868
UMTS,404,50,50812,1651663,93.999625,24.62903,1341763689,1367974050
UMTS,404,7,36024,39499339,78.544693,17.451553,1341746016,1341746016
GSM,404,19,810,59391,76.048279,10.63591,1341849760,1478592744
UMTS,404,19,38012,52517693,76.055278,10.635886,1341823148,1341823148
UMTS,404,19,38012,52554174,76.04908,10.637375,1341829218,1341829218
UMTS,404,19,38012,52554175,76.048737,10.637856,1341829558,1341829558
GSM,404,19,352,35001,76.04805,10.637169,1341823236,1341823236
GSM,404,19,810,23353,76.048737,10.631332,1341849760,1478592744
GSM,404,19,810,28861,76.04804993,10.63819885,1341824823,1341824823
GSM,404,19,417,35162,76.04804993,10.63819885,1341829062,1341829062
GSM,404,19,417,35932,76.051483,10.645752,1341849760,1448528303
GSM,404,22,10087,661,76.401902,17.833787,1342183992,1478333598
GSM,404,45,5,2963,77.582244,12.928543,1342188894,1408433818
GSM,404,20,21003,31583,72.866527,19.23572,1342191582,1477640422
GSM,404,20,21003,36642,72.867508,19.235916,1342191582,1465339843
GSM,404,20,21002,31602,72.86613464,19.23500061,1342094849,1342094849
GSM,404,20,26012,33821,72.864624,19.234314,1342094902,1342094902
GSM,404,20,21002,31604,72.864075,19.236374,1342094913,1342094913
GSM,404,20,26012,33823,72.864761,19.238336,1342094947,1342094947
GSM,404,20,21002,31601,72.864761,19.239807,1342094956,1342094956
GSM,404,20,21003,1611,72.864761,19.241043,1342094979,1342094979
GSM,404,20,21003,34862,72.864814,19.241128,1342191582,1492001513
GSM,404,20,21003,34861,72.86443,19.245229,1342191582,1492001513
GSM,404,20,21010,35761,72.861328,19.245758,1342095149,1342095149
GSM,404,20,21010,35763,72.861328,19.246674,1342095344,1342095344
GSM,404,20,21010,33752,72.862015,19.247818,1342095358,1342095358
GSM,404,20,21010,33751,72.867643,19.253511,1342098259,1342098259
GSM,404,20,21002,31192,72.86459,19.253025,1342191587,1465339843
GSM,404,20,21002,31191,72.865677,19.254341,1342191587,1475286265
GSM,404,20,21002,31193,72.864349,19.254639,1342191587,1473629147
GSM,404,20,21002,34123,72.864867,19.257501,1342191587,1489812180
GSM,404,20,21010,1321,72.862473,19.258347,1342131071,1342131071
GSM,404,20,21010,1323,72.860184,19.258347,1342131085,1342131085
GSM,404,20,21010,36771,72.858582,19.258347,1342131093,1342131093
GSM,404,20,21010,36773,72.856522,19.258347,1342131120,1342131120
GSM,404,20,21010,35422,72.85299,19.25815,1342131156,1342131156
GSM,404,20,21010,32832,72.84996,19.256058,1342131206,1342131206
GSM,404,20,21010,32833,72.846909,19.252338,1342131250,1342131250
GSM,404,20,21002,36683,72.845535,19.247971,1342131295,1342131295
GSM,404,20,21002,32373,72.844482,19.243469,1342191594,1489812186
GSM,404,20,21002,32131,72.843112,19.240655,1342191594,1489812186
GSM,404,20,21002,32133,72.841187,19.238291,1342191594,1489812186
GSM,404,20,21002,32451,72.840958,19.235001,1342191594,1367728589
GSM,404,20,21002,30221,72.841389,19.236691,1342191594,1489812186
GSM,404,20,21002,30224,72.83933,19.233322,1342191594,1489812186
GSM,404,20,21002,30223,72.840729,19.229095,1342191594,1489812186
GSM,404,20,21002,32113,72.840582,19.230586,1342191594,1489812186
GSM,404,20,21002,32111,72.84502,19.229336,1342191594,1483586396
GSM,404,20,22001,31673,72.843704,19.226074,1342191594,1492439700
UMTS,404,40,31031,6770300,80.184059,13.044205,1342224008,1342224008
GSM,404,95,61100,30513,76.901779,8.631821,1342284107,1458441323
GSM,404,73,378,30678,78.308395,14.658524,1342399538,1478659341
GSM,404,30,544,50621,88.3870697,22.52952576,1342407780,1342407780
GSM,404,70,126,40541,73.00071716,26.27449036,1342447733,1454908877
GSM,404,45,1829,13251,77.582639,12.903487,1342621820,1408433818
GSM,404,45,1829,7232,77.586708,12.910995,1342621820,1354855066
GSM,404,45,18291,7232,77.584647,12.914845,1342621820,1436058596
GSM,404,45,18291,13251,77.585449,12.909622,1342621820,1356964654
GSM,404,45,1829,2033,77.586136,12.911844,1342621820,1356823088
GSM,404,45,18291,2033,77.585046,12.916053,1342621820,1452164806
GSM,404,45,18291,2031,77.586136,12.917175,1342621820,1453124291
GSM,404,45,906,25503,77.587852,12.991333,1342621820,1408433818
GSM,404,45,906,82,77.586698,12.982407,1342621820,1408433818
GSM,404,45,906,9733,77.585724,12.979317,1342621820,1408433818
GSM,404,45,906,8213,77.586859,12.975504,1342621820,1408433818
GSM,404,45,906,231,77.587509,12.969785,1342621820,1408433818
GSM,404,45,906,232,77.587932,12.970681,1342621820,1408433818
GSM,404,45,906,50811,77.586937,12.968674,1342621820,1408433823
GSM,404,45,906,1321,77.589079,12.970636,1342621820,1408433818
GSM,404,45,906,1322,77.588228,12.967824,1342621820,1408433818
GSM,404,45,906,8243,77.58888245,12.96592712,1342621820,1351424440
GSM,404,45,9061,8243,77.58934,12.965469,1342621820,1351424457
GSM,404,45,9061,7681,77.589569,12.964554,1342621820,1351424467
GSM,404,45,408,7681,77.588882,12.963138,1342621820,1455323711
GSM,404,45,408,2253,77.589388,12.96253,1342621820,1456611013
GSM,404,45,408,7682,77.588997,12.961693,1342621820,1456611013
GSM,404,45,408,3422,77.588539,12.958168,1342621820,1474985625
GSM,404,45,408,5421,77.594917,12.95089,1342621828,1456629873
GSM,404,45,408,5422,77.58516,12.954471,1342621828,1456629873
GSM,404,45,408,15934,77.584076,12.953796,1342621828,1456629873
GSM,404,45,408,1601,77.583046,12.952309,1342621828,1456629873
UMTS,404,45,408,26281537,77.58338928,12.95219421,1342237060,1342237060
GSM,404,45,408,1602,77.581359,12.94903,1342621828,1454376770
GSM,404,45,5,3554,77.580678,12.939236,1342621828,1436130601
GSM,404,45,5,50892,77.579477,12.936388,1342621828,1355823919
GSM,404,45,5,50871,77.580643,12.930771,1342621828,1408433818
GSM,404,45,5,2962,77.58289,12.929805,1342621828,1408433818
GSM,404,45,5,3413,77.585037,12.931732,1342621828,1408433818
GSM,404,45,5,50861,77.584419,12.932281,1342621828,1436796033
GSM,404,45,5,7302,77.583186,12.925135,1342621831,1408433823
GSM,404,45,5,5501,77.583733,12.928848,1342621831,1432596145
GSM,404,60,63600,25464,76.554451,27.037697,1342842547,1452910792
GSM,404,80,2352,52083,77.241017,10.592775,1342939869,1428271220
UMTS,404,40,31012,6632079,80.244933,13.034697,1343076131,1492422192
GSM,404,94,113,22533,78.120575,9.905891,1343160550,1487543679
UMTS,404,57,7019,13752065,73.30558777,23.46748352,1343269850,1343269850
GSM,404,10,115,42571,77.228806,28.520096,1249310333,1249310333
GSM,404,10,115,57331,77.228727,28.520214,1249310343,1249310343
GSM,404,10,115,42573,77.22868,28.519535,1249310283,1249310283
GSM,404,10,139,11343,77.228919,28.521114,1249310133,1249310133
GSM,404,10,139,3541,77.229629,28.5233,1249310434,1249310434
GSM,404,10,139,16233,77.2290802,28.51982117,1249310123,1249310123
GSM,404,10,115,45731,77.227707,28.518877,1249310303,1249310303
GSM,404,10,139,45731,77.230179,28.52504,1249310363,1249310363
GSM,404,10,139,42573,77.2290802,28.51982117,1249310113,1249310113
GSM,404,10,115,57333,77.227601,28.519082,1249310313,1249310313
GSM,404,10,115,16233,77.226608,28.5168,1249310243,1249310243
GSM,404,10,115,45732,77.22702,28.517761,1249310223,1249310223
GSM,404,10,115,57332,77.227249,28.518448,1249310263,1249310263
GSM,404,10,115,42572,77.228806,28.519821,1249310273,1249310273
GSM,404,10,115,3543,77.2290802,28.52119446,1249310283,1249310283
GSM,404,10,139,3543,77.22908,28.521194,1249310313,1249310313
GSM,404,10,139,49742,77.231003,28.527924,1249310394,1249310394
GSM,404,10,139,49743,77.23114,28.526688,1249310353,1249310353
GSM,404,10,139,57333,77.23114,28.526688,1249310343,1249310343
GSM,404,10,139,49741,77.231827,28.53293,1249310414,1249310414
GSM,404,10,139,9882,77.231827,28.533691,1249310424,1249310424
GSM,404,10,139,6163,77.232895,28.53714,1249310514,1249310514
GSM,404,10,139,6361,77.23182678,28.5308075,1249310374,1249310374
GSM,404,10,139,54461,77.231827,28.533096,1249310414,1249310414
GSM,404,10,139,6363,77.23182678,28.5308075,1249310374,1249310374
GSM,404,10,115,54461,77.231827,28.534241,1249310404,1249310404
GSM,404,10,139,9881,77.23182678,28.53492737,1249310404,1249310404
GSM,404,10,139,5413,77.23182678,28.53492737,1249310404,1249310404
GSM,404,10,139,841,77.231899,28.540493,1249378185,1249378185
GSM,404,10,139,842,77.232428,28.539906,1249378114,1249378114
GSM,404,10,112,13892,77.231764,28.541326,1249378185,1249378185
GSM,404,10,139,6161,77.231827,28.540617,1249378154,1249378154
GSM,404,10,112,6163,77.23182678,28.54179382,1249310464,1249310464
GSM,404,10,112,6161,77.233592,28.541598,1249378185,1249378185
GSM,404,10,112,7423,77.228341,28.549875,1249378657,1249378657
GSM,404,10,112,40103,77.236504,28.541018,1249378185,1249378185
GSM,404,10,112,40102,77.242905,28.54335,1249310584,1249310584
GSM,404,10,112,40101,77.243658,28.54359,1249310584,1249310584
GSM,404,10,133,5403,77.246933,28.544683,1249310665,1249310665
GSM,404,10,112,52,77.240524,28.542709,1249310535,1249310535
GSM,404,10,139,7423,77.24144,28.54509,1249378406,1249378406
GSM,404,10,133,55683,77.250429,28.546163,1249310655,1249310655
GSM,404,10,133,5402,77.253927,28.547255,1249310895,1249310895
GSM,404,10,112,16233,77.24693298,28.54454041,1249310584,1249310584
GSM,404,10,133,5401,77.251419,28.547379,1249310655,1249310655
GSM,404,10,133,6813,77.255013,28.547785,1249310705,1249310705
GSM,404,10,133,47151,77.24830627,28.5459137,1249310604,1249310604
GSM,404,10,133,41581,77.253456,28.547173,1249310655,1249310655
GSM,404,10,133,25711,77.256683,28.548248,1249310705,1249310705
GSM,404,10,133,6812,77.254486,28.547974,1249310665,1249310665
GSM,404,10,133,42051,77.261483,28.549808,1249310755,1249310755
UMTS,404,43,3032,250205,78.72139,10.77919,1343444398,1423612098
GSM,404,10,130,2552,77.240067,28.592063,1249379202,1249379202
GSM,404,10,130,26322,77.240067,28.593194,1249379202,1249379202
GSM,404,10,136,8211,77.241065,28.58886,1249379192,1249379192
